bhk,type,locality,area,price,price_unit,region,status,age
1,Apartment,Sri Garden Avenue K,487,36.99,L,Virar,Under Construction,New
1,Apartment,Tajjodin Taj Regency,515,75,L,Kamothe,Under Construction,New
1,Apartment,Avant Heritage III,427,1.02,Cr,Jogeshwari East,Under Construction,New
1,Apartment,Avant Heritage III,380,91.2,L,Jogeshwari East,Under Construction,New
2,Apartment,Avant Heritage III,517,1.24,Cr,Jogeshwari East,Under Construction,New
1,Apartment,Reputed Builder Wild Wood Park 2,651,20,L,Andheri West,Ready to move,Resale
2,Apartment,Squarefeet Sarvoday Square,1000,32,L,Ambernath West,Ready to move,Resale
1,Apartment,Reputed Builder Wild Wood Park 2,651,20,L,Andheri West,Ready to move,Resale
1,Apartment,Reputed Builder Wild Wood Park 2,651,20,L,Andheri West,Ready to move,Resale
1,Apartment,Reputed Builder Wild Wood Park 2,651,20,L,Andheri West,Ready to move,Resale
1,Apartment,Reputed Builder Wild Wood Park 2,651,20,L,Andheri West,Ready to move,Resale
1,Apartment,Reputed Builder Wild Wood Park 2,651,20,L,Andheri West,Ready to move,Resale
1,Apartment,Reputed Builder Wild Wood Park 2,651,20,L,Andheri West,Ready to move,Resale
2,Apartment,Shreeji Darshan,950,80,L,Ulwe,Under Construction,Resale
2,Apartment,Abhinandan Cloris,950,55,L,Kewale,Under Construction,Resale
1,Apartment,Reputed Builder Wild Wood Park 2,650,20,L,Andheri West,Ready to move,Resale
4,Apartment,Reputed Builder Emerald Apartments,2100,3.25,Cr,Santacruz East,Ready to move,Resale
1,Apartment,Paradise Sai World Dreams Phase 1,720,47,L,Dombivali,Under Construction,Resale
3,Apartment,Bhoomi New vandana CHSL,1530,2.85,Cr,Borivali East,Ready to move,Resale
1,Apartment,Reputed Builder Wild Wood Park 2,651,20,L,Andheri West,Ready to move,Resale
1,Apartment,Reputed Builder Wild Wood Park 2,651,20,L,Andheri West,Ready to move,Resale
1,Apartment,Reputed Builder Wild Wood Park 2,650,20,L,Andheri West,Ready to move,Resale
1,Apartment,Crystal Bharat Residency,560,25,L,Nala Sopara,Ready to move,Resale
1,Apartment,Reputed Builder Wild Wood Park 2,651,20,L,Andheri West,Ready to move,Resale
